id,Reserve.Location,Code.Loc.Snap,Site.Original,Camera.Site.Concatenate,Camera.Site.Std,Setup.Date,Setup.Time,Lat_Y,Long_X,Cam.Brand,Flash,Cam.Serial.No,Height,Fixture,DRXN,IMG# N,IMG# E,IMG# S,IMG# W,IMG# CT,Habitat.Descriptor,Shade,Visib.1,Visib.1,Visib.1,SITE_ID,Dist.Tree.1,Dist.Tree.2,Dist.Tree.3,Dist.Tree.4,Dist.Tree.5,Dist.Tree.6,Dist.Tree.7,Dist.Tree.8,Dist.Tree.9,Dist.Tree.10,Dist.Road,Dist.Water,Dist.Outcrop,Dist.Trail,Gral.Comments,other.cols.WATER (Km)P,other.cols.in.metadata2,Setup.Date.Original,Management.Type,Official.Name,Country,Province,Municipality,Vegetation,Biome,Elevation
11,Augrabies,AUG,C07,AUG_C07,AUG_C07,2018-11-24,9:53,-28.53140,20.13695,Cuddeback,IR - Black,,40,Pole,SW,5577,5578,5579,5580,5581,Dry river bed,1,10,5,5,C07,1,3,3,5,6,7,6,7,8,9,165,,27,3,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
12,Augrabies,AUG,C08,AUG_C08,AUG_C08,2018-11-24,9:19,-28.54729,20.15540,Cuddeback,IR - Black,,40,Pole,W,5572,5573,5574,5575,5576,Drainage line,0,9,5,8,C08,4,6,13,16,18,18,23,14,23,19,60,,29,7,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
13,Augrabies,AUG,C11,AUG_C11,AUG_C11,2018-11-22,11:16,-28.54758,20.21600,Cuddeback,IR - Black,1231A6007486,60,Pole,NW,5498,5499,5500,5501,5502,Drainage line,0,8,6,1,C11,2,8,6,9,8,13,12,11,11,17,45,2762,71,,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,575
14,Augrabies,AUG,C13,AUG_C13,AUG_C13,2018-11-22,9:24,-28.55153,20.26014,Cuddeback,IR - Black,1231A6007359,40,Pole,S ,5483,5484,5485,5486,5487,Rocky gulley,0,13,2,10,C13,70,55,69,78,74,107,30,24,37,53,127,1812,70,5,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,600
15,Augrabies,AUG,C14,AUG_C14,AUG_C14,2018-11-22,8:14,-28.54926,20.28575,Cuddeback,IR - Black,1231A6007358,60,Pole,NW,5473,5474,5475,5476,5477,Boscia gulley,0,8,5,2,C14,3,8,8,8,16,13,15,15,21,22,48,2173,70,,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,600
16,Augrabies,AUG,D01,AUG_D01,AUG_D01,2018-11-23,11:34,-28.56412,19.99688,Cuddeback,IR - Black,1231A6014189,60,Pole,S,5547,5548,5549,5550,5551,Open plain,0,22,4,31,D01,4,5,7,8,12,15,19,10,21,23,15,1242,1500,5,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,710
17,Augrabies,AUG,D02,AUG_D02,AUG_D02,2018-11-23,10:43,-28.56286,20.01998,Cuddeback,IR - Black,1231A6007491,50,Pole,SW,5542,5543,5544,5545,5546,Drainage line,0,5,1,3,D02,6,17,9,18,21,27,20,22,13,22,430,2162,1500,3,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
18,Augrabies,AUG,D03,AUG_D03,AUG_D03,2018-11-23,10:12,-28.56452,20.04089,Cuddeback,IR - Black,1231A6007485,40,Pole,W,5537,5538,5539,5540,5541,Open plain,0,34,30,40,D03,29,32,15,32,12,48,96,111,69,69,79,4151,171,4,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
19,Augrabies,AUG,D04,AUG_D04,AUG_D04,2018-11-25,,-28.55474,20.06874,Cuddeback,IR - Black,,50,Pole,W,5607,5608,5609,5610,5611,Drainage line,1,12,15,13,D04,1,2,3,10,15,14,9,16,15,20,175,,1500, ,,,,25-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
20,Augrabies,AUG,D05,AUG_D05,AUG_D05,2018-11-23,9:38,-28.56493,20.08687,Cuddeback,IR - Black,1231A6007493,40,Pole,E,5532,5533,5534,5535,5536,Drainage line,0,5,3,4,D05,4,3,5,6,25,7,7,7,8,15,83,2366,1500,3,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
21,Augrabies,AUG,D06,AUG_D06,AUG_D06,2018-11-23,9:10,-28.56330,20.11179,Cuddeback,IR - Black,1231A6007487,40,Pole,SE,5528,5529,5530,5531, ,Dry river bed,0,29,11,2,D06,2,6,8,11,21,6,16,12,17,17,392,131,220,,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
22,Augrabies,AUG,D07,AUG_D07,AUG_D07,2018-11-24,11:40,-28.55665,20.13437,Cuddeback,IR - Black,,40,Pole,SE,5592,5593,5594,5595,5596,Dry river bed,0,11,13,24,D07,4,5,7,8,6,9,7,15,24,29,81,,1500,,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
23,Augrabies,AUG,D08,AUG_D08,AUG_D08,2018-11-24,12:15,-28.56412,20.15852,Cuddeback,IR - Black,,40,Pole,SE,5597,5598,5599,5600,5601,Dry river bed,0,14,45,38,D08,1,3,6,10,17,9,12,20,16,17,466,,60,4,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
24,Augrabies,AUG,D09,AUG_D09,AUG_D09,2018-11-24,8:19,-28.56094,20.18729,Cuddeback,IR - Black,,40,Pole,N ,5567,5568,5569,5570,5571,Dry river bed,2,13,12,11,D09,2,5,8,12,11,11,12,9,16,22,122,,250,6,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,575
25,Augrabies,AUG,D10,AUG_D10,AUG_D10,2018-11-22,12:45,-28.57489,20.20328,Cuddeback,IR - Black,1231A6001541,40,Pole,S,5508,5509,5510,5511,5512,Drainage line,0,33,22,5,D10,2,9,5,7,5,10,9,10,12,18,36,1405,1500,2,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,575
26,Augrabies,AUG,D11,AUG_D11,AUG_D11,2018-11-22,10:38,-28.56714,20.22453,Cuddeback,IR - Black,1231A6007494,60,Pole,SW,5493,5494,5495,5496,5497,Drainage line,1,10,6,13,D11,2,6,11,11,20,17,16,15,22,21,15,951,65,,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,575
27,Augrabies,AUG,D12,AUG_D12,AUG_D12,2018-11-24,7:16,-28.57062,20.25144,Cuddeback,IR - Black,,40,Pole,SW,5562,5563,5564,5565,5566,Dry river bed,0,12,6,8,D12,1,8,11,6,12,17,15,18,21,262,617,,170,5,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,600
28,Augrabies,AUG,D13,AUG_D13,AUG_D13,2018-11-22,8:52,-28.56748,20.27043,Cuddeback,IR - Black,1231A6007367,70,Pole,N ,5478,5479,5480,5481,5482,Erioloba dry river bed,0,17,17,4,D13,1,3,5,6,6,8,16,16,16,16,52,386,152,5,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,600
29,Augrabies,AUG,E05,AUG_E05,AUG_E05,2018-11-23,8:38,-28.58584,20.08748,Cuddeback,IR - Black,1231A6008182,50,Pole,SE,5523,5524,5525,5526,5527,Drainage line,0,25,7,13,E05,6,10,12,1,13,13,11,10,13,12,210,3428,1500,6,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,744
30,Augrabies,AUG,E08,AUG_E08,AUG_E08,2018-11-23,7:55,-28.57935,20.15412,Cuddeback,IR - Black,1231A6007492,70,Tree,SW,5518,5519,5520,5521,5522,Drainage line,4,7,1,1,E08,1,3,4,7,7,6,17,16,16,12,15,4616,194,,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
31,Augrabies,AUG,E09,AUG_E09,AUG_E09,2018-11-23,7:17,-28.58194,20.17719,Cuddeback,IR - Black,1231A6008187,40,Pole,SW,5513,5514,5515,5516,5517,Drainage line,0,10,3,10,E09,1,3,13,3,16,13,13,6,12,35,200,4026,710,2,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,575
32,Augrabies,AUG,E11,AUG_E11,AUG_E11,2018-11-22,12:05,-28.58409,20.22702,Cuddeback,IR - Black,1231A6007488,50,Pole,N,5503,5504,5505,5506,5507,Melifera drainage line,0,10,9,1,E11,2,7,6,6,8,6,12,12,20,18,245,1610,1500,,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,724
33,Augrabies,AUG,E12,AUG_E12,AUG_E12,2018-11-24,13:12,-28.58820,20.24634,Cuddeback,IR - Black,1231A6007364,60,Pole,NE,5602,5603,5604,5605,5607,Drainage line,0,13,8,18,E12,2,9,10,20,25,38,15,39,29,17,34,1050,1500,4,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,724
34,Augrabies,AUG,E13,AUG_E13,AUG_E13,2018-11-22,7:26,-28.58816,20.26922,Cuddeback,IR - Black,1231A6007318,40,Pole,NW,5468,5469,5470,5471,5472,Melifera drainage line,0,24,51,26,E13,8,8,12,12,8,11,20,20,23,22,85,1337,550,3,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,672
35,Augrabies,AUG,E14,AUG_E14,AUG_E14,2018-11-22,6:55,-28.58436,20.29197,Cuddeback,IR - Black,1231A6007362,80,Tree,SW,5463,5464,5465,5466,5467,Boscia ravine,1,13,1,6,E14,14,28,62,9,18,51,33,25,81,78,39,950,0,,,,,22-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,672
36,Bergplaas,BER,A04,BER_A04,BER_A04,2018-07-21,9:48,-31.70999,24.75305,Cuddeback ,Black Flash,1231A6007367,40,Tree,SW,100,101,102,103,104,Grassy shrubland,3,21,21,4,A04,7,9,6,12,21,21,19,37,24,25,34,700,0,2,,,,21-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Inxuba Yethemba,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1704
37,Bergplaas,BER,B04,BER_B04,BER_B04,2018-07-21,8:23,-31.72732,24.75296,Cuddeback ,Black Flash,1231A6007362,30,Pole,NW,95,98,97,96,99,Hillside shrubland,0,3,1,33,B04,23,37,17,30,26,29,32,44,78,30,12,59,0,1,,,,21-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Inxuba Yethemba,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1704
38,Bergplaas,BER,B05,BER_B05,BER_B05,2018-07-21,10:58,-31.73625,24.76131,Cuddeback ,Black Flash,1231A6007364,90,Tree,S,105,106,107,108,110,Read valley,1,72,3,40,B05,31,71,91,73,125,100,131,110,150,388,200,54,51,20,,,,21-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Inxuba Yethemba,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1704
39,Bergplaas,BER,C02,BER_C02,BER_C02,2018-07-21,12:39,-31.74578,24.71169,Cuddeback ,Black Flash,1231A6007318,30,Pole,W,116,117,118,119,120,Open grassy shrubland,0,15,1500,13,C02,333,1500,1500,1500,1500,1500,1500,1500,1500,1500,199,4850,0,0,,,,21-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Inxuba Yethemba,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1683
40,Bergplaas,BER,C03,BER_C03,BER_C03,2018-07-21,11:52,-31.74774,24.73095,Cuddeback ,Black Flash,1231A6007358,50,Tree,NW,111,112,113,114,115,Drainage line in grassland,0,7,17,4,C03,289,220,21,60,9,14,21,44,215,223,100,3200,29,10,,,,21-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Inxuba Yethemba,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1683
41,Bergplaas,BER,D02,BER_D02,BER_D02,2018-07-21,13:49,-31.76641,24.71340,Cuddeback ,Black Flash,1231A6007361,60,Pole,NE,121,122,123,124,125,Grassy plains/hillside,0,235,249,300,D02,245,207,214,225,225,489,475,476,263,268,248,4070,46,2,,,,21-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Inxuba Yethemba,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1733
42,Bergplaas,BER,D03,BER_D03,BER_D03,2018-07-21,14:24,-31.76792,24.73020,Cuddeback ,Black Flash,1231A6007359,40,Pole,SW,126,127,128,129,130,Shrubland hillside,0,5,2,2,D03,411,405,404,413,406,410,410,1500,1500,1500,16,3400,55,1,,,,21-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Inxuba Yethemba,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1733
43,Bergplaas,BER,E02,BER_E02,BER_E02,2018-07-22,8:16,-31.78760,24.71636,Cuddeback ,Black Flash,1231A6007312,40,Pole,SW,131,135,132,133,134,Fynbos shrubland,0,4,5,2,E02,7,10,60,55,51,41,52,53,57,43,250,2050,122,1,,,,22-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Camdeboo,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1733
44,Bergplaas,BER,E03,BER_E03,BER_E03,2018-07-22,8:50,-31.79315,24.73409,Cuddeback ,Black Flash,1231A6007360,50,Pole,NW,136,137,139,140,141,Rocky lower mountain side,0,8,6,22,E03,87,56,61,62,93,98,110,198,350,350,200,500,0,2,,,,22-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Camdeboo,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1733
45,Bergplaas,BER,F02,BER_F02,BER_F02,2018-07-22,9:38,-31.80182,24.71295,Cuddeback ,Black Flash,1231A6007323,50,Pole,SW,142,143,144,145,148,Rocky grass hill,0,32,12,4,F02,10,27,29,41,132,136,142,156,270,268,26,2050,0,1,,,,22-Jul-2018,Private reserve,Bergplaas Nature Reserve,South Africa,Eastern Cape,Camdeboo,KARROID DANTHONIA MOUNTAIN VELD,Grassland,1733
46,Blouberg,BLO,A04,BLO_A04,BLO_A04,2018-07-20,,-22.96079,29.0942,Cuddeback Ambush,White - Strobe,SN134716002536,TREE,S,,,,,,,SHORT OPEN SHRUBLAND,0,,,,A04,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,MIXED BUSHVELD,Savanna,853
47,Blouberg,BLO,B02,BLO_B02,BLO_B02,2018-07-20,,-22.97752,29.05294,Cuddeback Ambush,White - Strobe,SN134716002520,TREE,NE,,,,,,,MEDIUM CLOSED WOODLAND,2,,,,B02,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,MIXED BUSHVELD,Savanna,867
48,Blouberg,BLO,B03,BLO_B03,BLO_B03,2018-07-20,,-22.97663,29.0715,Cuddeback Ambush,White - Strobe,SN134716002521,TREE,S,,,,,,,MEDIUM OPEN WOODLAND,0,,,,B03,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,MIXED BUSHVELD,Savanna,867
49,Blouberg,BLO,B04,BLO_B04,BLO_B04,2018-07-21,,-22.97728,29.09327,Cuddeback Ambush,White - Strobe,SN134716002770,TREE,NW,,,,,,,MEDIUM OPEN SHRUBLAND,1,,,,B04,,,,,,,,,,,,,,,,,,21/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,853
50,Blouberg,BLO,B05,BLO_B05,BLO_B05,2018-07-21,,-22.97751,29.1132,Cuddeback Ambush,White - Strobe,SN134716002764,TREE,NE,,,,,,,MEDIUM OPEN SHRUBLAND,1,,,,B05,,,,,,,,,,,,,,,,,,21/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,853
51,Blouberg,BLO,B06,BLO_B06,BLO_B06,2018-07-21,,-22.9773,29.13261,Cuddeback Ambush,White - Strobe,SN134716002772,TREE,NE,,,,,,,MEDIUM CLOSED WOODLAND,2,,,,B06,,,,,,,,,,,,,,,,,,21/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,853
52,Blouberg,BLO,C01,BLO_C01,BLO_C01,2018-07-20,,-22.99776,29.03484,Cuddeback Ambush,White - Strobe,SN134716002519,TREE,S,,,,,,,MEDIUM OPEN WOODLAND,2,,,,C01,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,MIXED BUSHVELD,Savanna,867
53,Blouberg,BLO,C02,BLO_C02,BLO_C02,2018-07-20,,-22.99776,29.05258,Cuddeback Ambush,White - Strobe,SN134716002517,TREE,E,,,,,,,SHORT OPEN SHRUBLAND,2,,,,C02,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,867
54,Blouberg,BLO,C03,BLO_C03,BLO_C03,2018-07-20,,-22.99718,29.07301,Cuddeback Ambush,White - Strobe,SN134716002518,TREE,SW,,,,,,,TALL CLOSED WOODLAND,3,,,,C03,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,867
55,Blouberg,BLO,C04,BLO_C04,BLO_C04,2018-07-20,,-22.99724,29.09333,Cuddeback Ambush,White - Strobe,SN134716002522,TREE,NE,,,,,,,MEDIUM OPEN WOODLAND,3,,,,C04,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,853
56,Blouberg,BLO,C05,BLO_C05,BLO_C05,2018-07-20,,-22.99548,29.11514,Cuddeback Ambush,White - Strobe,SN134716002530,TREE,NW,,,,,,,MEDIUM CLOSED WOODLAND,1,,,,C05,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,853
57,Blouberg,BLO,C06,BLO_C06,BLO_C06,2018-07-20,,-22.99514,29.13336,Cuddeback Ambush,White - Strobe,SN134716002516,TREE,S,,,,,,,MEDIUM CLOSED WOODLAND,2,,,,C06,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,853
58,Blouberg,BLO,C07,BLO_C07,BLO_C07,2018-07-20,,-22.9941,29.15365,Cuddeback Ambush,White - Strobe,SN134716002525,TREE,S,,,,,,,MEDIUM CLOSED WOODLAND,1,,,,C07,,,,,,,,,,,,,,,,,,20/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,853
59,Blouberg,BLO,D02,BLO_D02,BLO_D02,2018-07-21,,-23.00981,29.04876,Cuddeback Ambush,White - Strobe,SN134716002767,TREE,NE,,,,,,,SHORT SEMI-CLOSED WOODLAND,2,,,,D02,,,,,,,,,,,,,,,,,,21/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,1121
60,Blouberg,BLO,D03,BLO_D03,BLO_D03,2018-07-21,,-23.01709,29.07506,Cuddeback Ambush,White - Strobe,SN134716002769,TREE,SO,,,,,,,MEDIUM OPEN WOODLAND,2,,,,D03,,,,,,,,,,,,,,,,,,21/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,1121
61,Blouberg,BLO,D04,BLO_D04,BLO_D04,2018-07-21,,-23.0202,29.09383,Cuddeback Ambush,White - Strobe,SN134716002773,TREE,W,,,,,,,MEDIUM CLOSED WOODLAND,2,,,,D04,,,,,,,,,,,,,,,,,,21/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,892
62,Blouberg,BLO,D05,BLO_D05,BLO_D05,2018-07-21,,-23.02114,29.11767,Cuddeback Ambush,White - Strobe,SN134716002756,TREE,N,,,,,,,MEDIUM CLOSED SHRUBLAND,2,,,,D05,,,,,,,,,,,,,,,,,,21/07/2018,Provintial Reserve,Blouberg Nature Reserve,South Africa,Limpopo,Blouberg,SOURISH MIXED BUSHVELD,Savanna,892
